scene_id,category_band,funnel_stage,released,released_valid,handover_status_raw,degenerate_plane
scene_113,mixed,rejected,False,,success|REJECT,False
scene_114,mixed,released,True,True,success|ACCEPT,False
scene_115,mixed,no_candidates,,,inferred|empty_candidates,False
scene_116,mixed,no_candidates,,,no_target|empty_candidates,False
scene_117,mixed,rejected,False,,success|REJECT,False
scene_118,mixed,released,True,True,success|ACCEPT,False
scene_119,mixed,released,True,True,success|ACCEPT,False
scene_120,mixed,released,True,True,success|ACCEPT,False
scene_121,mixed,released,True,True,success|ACCEPT,False
scene_122,mixed,rejected,False,,success|REJECT,False
scene_123,mixed,rejected,False,,success|REJECT,False
scene_124,mixed,released,True,True,success|ACCEPT,False
scene_125,mixed,no_candidates,,,no_target|empty_candidates,False
scene_126,mixed,rejected,False,,success|REJECT,False
scene_127,mixed,released,True,True,success|ACCEPT,False
scene_128,mixed,no_candidates,,,inferred|empty_candidates,False
scene_129,mixed,rejected,False,,success|REJECT,False
scene_130,mixed,released,True,True,success|ACCEPT,False
scene_131,mixed,rejected,False,,success|REJECT,False
scene_132,mixed,no_candidates,,,inferred|empty_candidates,False
scene_133,mixed,released,True,True,success|ACCEPT,False
scene_134,mixed,released,True,True,success|ACCEPT,False
scene_135,mixed,released,True,True,success|ACCEPT,False
scene_136,mixed,released,True,True,success|ACCEPT,False
scene_137,mixed,no_candidates,,,inferred|empty_candidates,False
scene_138,mixed,rejected,False,,success|REJECT,False
scene_139,mixed,released,True,True,success|ACCEPT,False
scene_140,mixed,no_candidates,,,no_target|empty_candidates,False
scene_141,mixed,released,True,False,success|ACCEPT,False
scene_142,mixed,no_candidates,,,inferred|empty_candidates,False
scene_143,mixed,released,True,True,success|ACCEPT,False
scene_144,mixed,no_candidates,,,no_target|empty_candidates,False
scene_145,mixed,released,True,True,success|ACCEPT,False
scene_146,mixed,no_candidates,,,inferred|empty_candidates,False
scene_147,mixed,released,True,True,success|ACCEPT,False
scene_148,mixed,released,True,True,success|ACCEPT,False
scene_149,mixed,released,True,False,success|ACCEPT,False
scene_150,mixed,rejected,False,,success|REJECT,False
scene_151,mixed,rejected,False,,success|REJECT,False
scene_152,mixed,rejected,False,,success|REJECT,False
scene_153,mixed,no_candidates,,,inferred|empty_candidates,False
scene_154,mixed,rejected,False,,success|REJECT,False
scene_155,mixed,released,True,True,success|ACCEPT,False
scene_156,mixed,rejected,False,,success|REJECT,False
scene_157,mixed,released,True,True,success|ACCEPT,False
scene_158,mixed,released,True,False,success|ACCEPT,False
scene_159,mixed,no_candidates,,,inferred|empty_candidates,False
scene_160,mixed,no_candidates,,,inferred|empty_candidates,False
scene_161,mixed,released,True,True,success|ACCEPT,False
scene_162,mixed,released,True,True,success|ACCEPT,False
scene_163,mixed,rejected,False,,success|REJECT,False
scene_164,mixed,released,True,True,success|ACCEPT,False
scene_165,mixed,released,True,True,success|ACCEPT,False
scene_166,mixed,released,True,True,success|ACCEPT,False
scene_167,mixed,released,True,False,success|ACCEPT,False
scene_168,mixed,no_candidates,,,inferred|empty_candidates,False
scene_169,mixed,rejected,False,,success|REJECT,False
scene_170,mixed,rejected,False,,success|REJECT,False
scene_171,mixed,released,True,True,success|ACCEPT,False
scene_172,mixed,released,True,True,success|ACCEPT,False
scene_173,mixed,released,True,False,success|ACCEPT,False
scene_174,mixed,no_candidates,,,inferred|empty_candidates,False
scene_175,mixed,released,True,True,success|ACCEPT,False
scene_176,mixed,released,True,True,success|ACCEPT,False
scene_177,mixed,rejected,False,,success|REJECT,False
scene_178,mixed,no_candidates,,,inferred|empty_candidates,False
scene_179,mixed,released,True,True,success|ACCEPT,False
scene_180,mixed,released,True,True,success|ACCEPT,False
scene_181,mixed,no_candidates,,,no_target|empty_candidates,False
scene_182,mixed,no_candidates,,,inferred|empty_candidates,False
scene_183,mixed,no_candidates,,,inferred|empty_candidates,False
scene_184,mixed,released,True,True,success|ACCEPT,False
scene_185,mixed,no_candidates,,,inferred|empty_candidates,False
scene_186,mixed,rejected,False,,success|REJECT,False
scene_187,mixed,rejected,False,,success|REJECT,False
scene_188,mixed,rejected,False,,success|REJECT,False
scene_189,mixed,released,True,True,success|ACCEPT,False
scene_190,mixed,released,True,True,success|ACCEPT,False
scene_191,mixed,released,True,True,success|ACCEPT,False
scene_192,mixed,rejected,False,,success|REJECT,False
scene_193,mixed,released,True,True,success|ACCEPT,False
scene_194,mixed,released,True,True,success|ACCEPT,False
scene_195,mixed,no_candidates,,,inferred|empty_candidates,False
scene_196,mixed,released,True,True,success|ACCEPT,False
scene_197,mixed,rejected,False,,success|REJECT,False
scene_198,mixed,released,True,True,success|ACCEPT,False
scene_199,mixed,no_candidates,,,no_target|empty_candidates,False
scene_200,dense,released,True,False,success|ACCEPT,False
scene_201,dense,rejected,False,,success|REJECT,False
