check_param,tau,tau_rel,far,frr,accept_rate,accept_precision,n_rejects_by_check
bbox_extent.extent_rel_dev_max,0.11905507889761496,0.7937005259840998,0.43010752688172044,0.258160237388724,0.6006493506493507,0.6756756756756757,98
bbox_extent.extent_rel_dev_max,0.15,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,73
bbox_extent.extent_rel_dev_max,0.18898815748423098,1.2599210498948732,0.4659498207885305,0.17507418397626112,0.6623376623376623,0.6813725490196079,42
bbox_extent.extent_rel_dev_max,0.2381101577952299,1.5874010519681994,0.48028673835125446,0.1543026706231454,0.6801948051948052,0.6801909307875895,23
bbox_extent.extent_rel_dev_max,0.29999999999999993,1.9999999999999996,0.4874551971326165,0.1513353115727003,0.685064935064935,0.6777251184834123,14
bbox_extent.extent_rel_dev_max,0.37797631496846196,2.5198420997897464,0.4874551971326165,0.142433234421365,0.689935064935065,0.68,10
bbox_extent.extent_rel_dev_max,0.47622031559045974,3.1748021039363983,0.4874551971326165,0.142433234421365,0.689935064935065,0.68,10
bbox_extent.extent_rel_dev_max,0.6,4.0,0.4874551971326165,0.13649851632047477,0.6931818181818182,0.6814988290398126,7
bbox_inlier.inlier_min,0.2,0.25,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.22870596721658407,0.28588245902073006,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.26153209720236614,0.32691512150295765,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.29906975624424414,0.3738371953053052,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.3419951893353394,0.4274939866691742,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.39108170280178794,0.4888521285022349,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.447213595499958,0.5590169943749475,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.5114020895561203,0.6392526119451504,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0
bbox_inlier.inlier_min,0.5848035476425733,0.7310044345532165,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,1
