scene_id,category_band,gt_instance_id,gt_class,packaging_type,visible_px,visibility_ratio,match_iou,e_lat_mm,e_top_mm_signed,ext_err_long_rel,ext_err_short_rel,ext_err_height_rel,yaw_err_deg,yaw_fold_deg,e_bottom_mm_signed,bottom_cue,bottom_confidence,is_primary_target
scene_545,edge,12,China Package,rigid,5740,1.0727272034175541,0.8721254355400697,3.095082337089024,0.029969434878984735,-0.01551800621499627,0.07691777903488888,-0.968214305293837,3.8906936645507812,180,367.95139426533007,gradient_global,0.92,False
scene_546,edge,20,Black Package,rigid,5857,1.013573569841137,0.5519890729042172,45.35609885195818,24.04135826053433,-0.4170854739424154,-0.05065320840199214,-0.7339136324909796,89.42229461669922,180,136.14084504216893,gradient_global,0.92,True
scene_546,edge,19,Colis VistaPrint,rigid,6188,1.1023549711470377,0.8442146089204913,7.207481400994421,0.07550256285115964,-0.04833915182564388,-0.046589630107362376,-0.4118702556904026,0.08057484775781631,180,55.67797769883587,gradient_global,0.92,False
scene_547,edge,8,POP_Drinks_Pack,rigid,9411,0.9632341983120644,0.6375838926174496,103.99348317168281,0.0581119291932497,0.4015683507697441,0.02430098656545741,-0.921713677783629,3.4835052490234375,180,118.94008289630231,overlap_matched_parcel,0.7,True
scene_547,edge,14,Colis VistaPrint,rigid,3297,1.054891493137482,0.8462238398544131,7.739730911730121,0.2891268700744576,-0.06473628652001137,-0.05170019551083106,-0.6607470669574977,1.4271316528320312,180,89.48948629867539,gradient_global,0.92,False
scene_548,edge,15,Asset_Package_in_paper_with_rope,rigid,6579,0.8424627107021891,0.8686730506155951,6.845942278853463,-21.868345266002787,-0.09149532221187891,-0.1648007163249712,-0.8528195610927958,2.6864852905273438,180,95.76986027968637,overlap_matched_parcel,0.7,True
scene_550,edge,9,Colis VistaPrint,rigid,5201,1.0322595338639717,0.8930974812536051,2.886650163969495,0.03186026082724336,-0.042090889648080054,-0.06554881041088206,-0.7775734067940375,0.34198030829429626,180,105.00426477451042,gradient_global,0.92,True
scene_551,edge,14,Black Package,rigid,3416,1.1184240435724706,0.8158665105386417,3.110718458085299,0.022558977255504598,-0.050457351802752556,-0.05884680723105262,0.00017720305046598284,1.2968109846115112,180,-0.004907494946942981,gradient_global,0.92,True
scene_552,edge,15,Colis VistaPrint,rigid,6249,1.0532912776692789,0.5506481036965915,29.081019867820526,22.29439626586982,-0.03032726548397772,-0.34513518090282,-0.7069843439910503,2.8462846279144287,180,115.45069745991499,gradient_global,0.92,True
scene_554,edge,14,Asset_Package_in_paper_with_rope,rigid,5135,0.8222030592350694,0.8621226874391431,7.189091706917383,-17.035028154812615,-0.10146979361970739,-0.10691858008268085,-0.04995332438319425,0.23342765867710114,180,-10.165546092250732,gradient_global,0.92,True
scene_555,edge,17,Asset_Package_in_paper_with_rope,rigid,6565,0.8211271254388846,0.8694592536176695,11.128349337404766,-20.68835065036001,-0.06861145481403996,-0.12630647115258226,-0.4814383424412926,1.403909683227539,180,45.674750208363754,lateral_neighbor,0.75,False
