scene_id,category_band,gt_class,theta_deg,within_12deg,within_30deg,status
scene_095,mixed,Cardboard Box.001,6.572778657724724e-05,True,True,evaluated
scene_096,mixed,Gros Carton,0.0001112026641309465,True,True,evaluated
scene_097,mixed,China Package,3.8954528347460766e-05,True,True,evaluated
scene_098,mixed,China Package,4.128089896095343e-05,True,True,evaluated
scene_099,mixed,,,,,no_target
scene_100,mixed,,,,,no_target
scene_101,mixed,Asset_Package_in_paper_with_rope,4.018286595752965,True,True,evaluated
scene_102,mixed,Cardboard Box.001,1.9539810020908466e-05,True,True,evaluated
scene_103,mixed,Asset_Deformed_Package,14.034588418089962,False,True,evaluated
scene_104,mixed,Big Package cardboard,6.117172462015568e-05,True,True,evaluated
scene_105,mixed,Amazon_Book_Package,8.50623124404367e-05,True,True,evaluated
scene_106,mixed,Big Package cardboard,1.7758417911471937e-05,True,True,evaluated
scene_107,mixed,Big Package cardboard,5.557977552088774e-05,True,True,evaluated
scene_108,mixed,POP_Drinks_Pack,0.025022090739595458,True,True,evaluated
scene_109,mixed,Amazon_A2_Package,0.1989820515221124,True,True,evaluated
scene_110,mixed,Ikea Cardboard Package,3.819314538043407e-05,True,True,evaluated
scene_111,mixed,China Package,4.418105654066297e-05,True,True,evaluated
scene_112,mixed,Asset_Deformed_Package,12.153291118148031,False,True,evaluated
scene_113,mixed,,,,,target_unmatched
scene_114,mixed,Ikea Cardboard Package,4.744295289285892e-05,True,True,evaluated
scene_115,mixed,,,,,no_target
scene_116,mixed,,,,,no_target
scene_117,mixed,Cardboard Box SQ01.001,1.0157093677153908,True,True,evaluated
scene_118,mixed,Colis VistaPrint,0.00012017299807099944,True,True,evaluated
scene_119,mixed,Colis VistaPrint,4.0224987050115815e-05,True,True,evaluated
scene_120,mixed,Amazon_A2_Package,0.39045817225503493,True,True,evaluated
scene_121,mixed,Ikea Cardboard Package,6.307107246393872e-05,True,True,evaluated
scene_122,mixed,Asset_Deformed_Package,10.6346911216911,True,True,evaluated
scene_123,mixed,Colis VistaPrint,6.710415090430545e-05,True,True,evaluated
scene_124,mixed,Big Package cardboard,2.152326232378219e-05,True,True,evaluated
scene_125,mixed,,,,,no_target
scene_126,mixed,Asset_Deformed_Package,12.61686133069278,False,True,evaluated
scene_127,mixed,Big Package cardboard,5.7588382524483685e-05,True,True,evaluated
scene_128,mixed,,,,,no_target
scene_129,mixed,Gros Carton,5.682349988858316e-05,True,True,evaluated
scene_130,mixed,Colis VistaPrint,4.7092699153264636e-05,True,True,evaluated
scene_131,mixed,Asset_Deformed_Package,13.066721049744544,False,True,evaluated
scene_132,mixed,,,,,no_target
scene_133,mixed,Gros Carton,1.385577855210735e-05,True,True,evaluated
scene_134,mixed,Colis VistaPrint,3.163238190657061e-05,True,True,evaluated
scene_135,mixed,Ikea Cardboard Package,5.652603823896922e-05,True,True,evaluated
scene_136,mixed,Cardboard Box.001,4.098099007467218e-05,True,True,evaluated
scene_137,mixed,,,,,no_target
scene_138,mixed,Paper_Shopping_Bag,9.403475954700108,True,True,evaluated
scene_139,mixed,Black Package,4.104613614599533e-05,True,True,evaluated
scene_140,mixed,,,,,no_target
scene_141,mixed,Amazon_Book_Package,9.052957816816448e-05,True,True,evaluated
scene_142,mixed,,,,,no_target
scene_143,mixed,Big Package cardboard,2.9332472093803746e-05,True,True,evaluated
scene_144,mixed,,,,,no_target
scene_145,mixed,Big Package cardboard,1.8182559893291706e-05,True,True,evaluated
scene_146,mixed,,,,,no_target
scene_147,mixed,Куб,9.340143943046724e-05,True,True,evaluated
scene_148,mixed,Ikea Cardboard Package,4.4588542563890856e-05,True,True,evaluated
scene_149,mixed,Amazon_Book_Package,6.469520940127185e-05,True,True,evaluated
scene_150,mixed,Asset_Deformed_Package,10.049553170701115,True,True,evaluated
scene_151,mixed,Black Package,3.5353493818262315e-05,True,True,evaluated
scene_152,mixed,Asset_Large_cartoon_Box,1.3791094022334072,True,True,evaluated
scene_153,mixed,,,,,no_target
scene_154,mixed,Gros Carton,5.4453741439396257e-05,True,True,evaluated
scene_155,mixed,POP_Drinks_Pack,0.13532928375852232,True,True,evaluated
scene_156,mixed,Big Package cardboard,1.918622378243645e-05,True,True,evaluated
scene_157,mixed,POP_Drinks_Pack,0.8290673728529289,True,True,evaluated
scene_158,mixed,Amazon_A2_Package,0.5428074261339844,True,True,evaluated
scene_159,mixed,,,,,no_target
scene_160,mixed,,,,,no_target
scene_161,mixed,China Package,7.080941041819881e-05,True,True,evaluated
scene_162,mixed,Storage_Box_with_Lid,1.910599972505643e-05,True,True,evaluated
scene_163,mixed,Asset_Deformed_Package,11.55258647172881,True,True,evaluated
scene_164,mixed,Colis VistaPrint,2.8541741445918652e-05,True,True,evaluated
scene_165,mixed,Colis VistaPrint,4.941946258661542e-05,True,True,evaluated
scene_166,mixed,Куб,5.508898441836373e-05,True,True,evaluated
scene_167,mixed,Amazon_Book_Package,7.887666455277674e-05,True,True,evaluated
scene_168,mixed,,,,,no_target
scene_169,mixed,Asset_Deformed_Package,8.527358743080075,True,True,evaluated
scene_170,mixed,Asset_Deformed_Package,12.964035221406577,False,True,evaluated
scene_171,mixed,Amazon_Book_Package,2.169658351845863e-06,True,True,evaluated
scene_172,mixed,China Package,0.00010970109155580544,True,True,evaluated
scene_173,mixed,Amazon_A2_Package,0.5498712649541602,True,True,evaluated
scene_174,mixed,,,,,no_target
scene_175,mixed,Gros Carton,5.05318264534552e-05,True,True,evaluated
scene_176,mixed,Carton Magdeleine,6.829337089575238e-05,True,True,evaluated
scene_177,mixed,Colis VistaPrint,8.635664502770521e-05,True,True,evaluated
scene_178,mixed,,,,,no_target
scene_179,mixed,Storage_Box_with_Lid,3.4705370179759784e-05,True,True,evaluated
scene_180,mixed,Colis VistaPrint,9.068638392980106e-05,True,True,evaluated
scene_181,mixed,,,,,no_target
scene_182,mixed,,,,,no_target
scene_183,mixed,,,,,no_target
scene_184,mixed,Big Package cardboard,1.409759540888913e-05,True,True,evaluated
scene_185,mixed,,,,,no_target
scene_186,mixed,Envelope_Stack,6.7646941558388995,True,True,evaluated
scene_187,mixed,Asset_Deformed_Package,13.681435987327411,False,True,evaluated
scene_188,mixed,Asset_Package_in_paper_with_rope,2.5343983236159153,True,True,evaluated
scene_189,mixed,Ikea Cardboard Package,3.42121653826893e-05,True,True,evaluated
scene_190,mixed,China Package,6.239697618160445e-05,True,True,evaluated
scene_191,mixed,Gros Carton,7.768563552962913e-05,True,True,evaluated
scene_192,mixed,Colis VistaPrint,8.362033174417137e-05,True,True,evaluated
scene_193,mixed,Black Package,3.1214818562444785e-05,True,True,evaluated
scene_194,mixed,Cardboard Box SQ01.001,0.8232576113654378,True,True,evaluated
scene_195,mixed,,,,,no_target
scene_196,mixed,Colis VistaPrint,5.429653898146202e-05,True,True,evaluated
scene_197,mixed,Cardboard Box SQ01.001,1.217789140235858,True,True,evaluated
scene_198,mixed,China Package,2.2621328990024333e-05,True,True,evaluated
scene_199,mixed,,,,,no_target
scene_200,dense,Amazon_A2_Package,0.5910595433308609,True,True,evaluated
scene_201,dense,Amazon_Book_Package,3.6828299643576865e-05,True,True,evaluated
scene_202,dense,Carton Magdeleine,2.3522768548281263e-05,True,True,evaluated
scene_203,dense,Small Packet,6.998728159472451e-05,True,True,evaluated
scene_204,dense,Amazon_Book_Package,4.3547906384747654e-05,True,True,evaluated
scene_205,dense,Vintage_Envelope,2.5070793070467024e-05,True,True,evaluated
scene_206,dense,Small Packet,7.983249971190759e-05,True,True,evaluated
scene_207,dense,Storage_Box_with_Lid,3.365291040737957e-05,True,True,evaluated
scene_208,dense,Colis VistaPrint,5.009105319674681e-05,True,True,evaluated
scene_209,dense,Asset_Package_in_paper_with_rope,4.589345063491297,True,True,evaluated
scene_210,dense,Amazon_A2_Package,0.5922325131578834,True,True,evaluated
scene_211,dense,Amazon_Book_Package,3.563007714788891e-05,True,True,evaluated
scene_212,dense,Storage_Box_with_Lid,1.3706152267956194e-05,True,True,evaluated
scene_213,dense,Vintage_Envelope,0.00011357108666007208,True,True,evaluated
scene_214,dense,Куб,5.236094188815148e-05,True,True,evaluated
scene_215,dense,POP_Drinks_Pack,0.9891416353408556,True,True,evaluated
scene_216,dense,,,,,target_unmatched
scene_217,dense,Carton Magdeleine,4.731464400187442e-05,True,True,evaluated
scene_218,dense,Amazon_Book_Package,4.098972564888756e-05,True,True,evaluated
scene_219,dense,Куб,6.677983397062447e-05,True,True,evaluated
scene_220,dense,Carton Magdeleine,2.9892370973161418e-05,True,True,evaluated
scene_221,dense,Amazon_A2_Package,1.1223519152488688,True,True,evaluated
scene_222,dense,China Package,1.4916317951999707e-05,True,True,evaluated
scene_223,dense,Amazon_A2_Package,0.4739406991375883,True,True,evaluated
scene_224,dense,Colis VistaPrint,0.00010438501978946381,True,True,evaluated
scene_225,dense,Colis VistaPrint,6.251701487557569e-05,True,True,evaluated
scene_226,dense,China Package,5.873758565424902e-05,True,True,evaluated
scene_227,dense,Carton Magdeleine,0.00010081783482360308,True,True,evaluated
scene_228,dense,Amazon_Book_Package,6.127809529684235e-05,True,True,evaluated
